"track","total_views","total_likes"
"Bohemian Rhapsody - Remastered 2011","1575428757","11351580"
"The Final Countdown","2167635990","11332102"
"Young, Wild & Free (feat. Bruno Mars)","1453206447","11270744"
"Poesia Acústica 13","611043975","11265324"
"MORE","418230356","11255202"
"Criminal","2692556428","11232223"
"Worth It (feat. Kid Ink)","2148602737","11228568"
"Worth It","2148602737","11228568"
"Stitches","1515227230","11151088"
"What Makes You Beautiful","1409822854","11089585"
"Treat You Better","2320985969","11075158"
"Party Rock Anthem","2252581562","11036446"
"Havana (feat. Young Thug)","1052968973","10917953"
"Fantasy","1408847227","10775874"
"MONTERO (Call Me By Your Name)","518631374","10715411"
"Yet To Come","176612886","10687920"
"One Kiss (with Dua Lipa)","1729713632","10610257"
"Lut Gaye","1291618749","10538778"
"Starboy","2168809930","10528200"
"X","2217930594","10490332"
"In Da Club","1682616458","10481678"
"Ride","1364006150","10478868"
"Meant to Be (feat. Florida Georgia Line)","2207862865","10448894"
"Quevedo: Bzrp Music Sessions, Vol. 52","891313417","10404347"
"Chantaje (feat. Maluma)","2805793003","10370533"
"What Do You Mean?","2224722255","10368391"
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)","1700439080","10326203"
"Him & I (with Halsey)","1278305850","10290743"
"Runaway","648756596","10281597"
"La Ocasión","2379789100","10183753"
"In the End","1487186392","10183387"
"Te Boté","2354418112","10169573"
"Báilame - Remix","2864330745","10160334"
"Bailando - Spanish Version","3328780111","10159799"
"Gangsta's Paradise","1172798473","10144160"
"Adicto (with Anuel AA & Ozuna)","3026814542","10123099"
"Monster","965410287","10022080"
"SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)","379873800","9931957"
"Scared to Be Lonely","1409044526","9927451"
"Wolves","990849219","9922423"
"Si Se Da - Remix","3608751271","9851773"
"Someone Like You","1962814324","9770534"
"That That (prod. & feat. SUGA of BTS)","400952274","9699989"
"Alone, Pt. II","592775186","9638125"
"Shut Down","336736139","9638123"
"Still D.R.E.","1233860763","9629569"
"Memories","918326925","9623698"
"Wake Up in the Sky","1016546325","9599736"
"7 Years","1357044606","9575882"
"Stuck with U (with Justin Bieber)","418265728","9575172"
"Paradise","1832733825","9572343"
"No Me Acuerdo","2830959653","9545352"
"Un Año","1431052222","9527358"
"Billie Jean","1300732161","9523245"
"All About That Bass","2563945395","9507899"
"Take on Me","1602170613","9457948"
"Robarte un Beso","3184282954","9435151"
"SICKO MODE","1073868016","9388617"
"Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack]","247486576","9353353"
"Loco Contigo (feat. J. Balvin & Tyga)","895357944","9342943"
"Drag Me Down","1026059927","9320803"
"The Spectre","1055729179","9287788"
"Poesia Acústica #6: Era uma Vez","937566491","9243917"
"Congratulations","1503280559","9147180"
"Desconocidos","2706597670","9133136"
"Phir Bhi Tumko Chaahunga","1731724938","9125304"
"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)","1484310460","9121487"
"We Found Love","2114132609","9076584"
"Me, Myself & I","1167496074","9040763"
"Photograph","1611834029","9033062"
"Total Eclipse of the Heart","1873706746","9011924"
"Poesia Acústica 11: Nada Mudou","783827093","9006564"
"Solita","1883080955","8960224"
"Baa Baa Black Sheep","3486504328","8943443"
"drivers license","427748082","8894073"
"Dernière danse","964652012","8893049"
"Purple Lamborghini (with Rick Ross)","1032105822","8882501"
"Cheap Thrills","1788225602","8821956"
"Blinding Lights","674164500","8817927"
"There's Nothing Holdin' Me Back","1168946145","8771309"
"Tip Tip (From ""Sooryavanshi"")","935671029","8766341"
"Mamichula - con Nicki Nicole","766667243","8747685"
"Naach Meri Rani","902660101","8741762"
"On The Floor - Radio Edit","2062108307","8740440"
"On The Floor","2062108307","8740440"
"Do I Wanna Know?","1449470227","8739290"
"FEFE","1031146368","8714358"
"Nada","1569316043","8679928"
"Same Love (feat. Mary Lambert)","1275094940","8634318"
"Love Shot","553619697","8613016"
"Lose You To Love Me","424155581","8611913"
"Lalala","539514484","8597511"
"PILLOWTALK","1148522874","8578551"
"Wing$","1228022210","8549927"
"Call Me Maybe","1507835523","8531656"
"Lonely","911258789","8529918"
"DÁKITI","1252297875","8493862"
"goosebumps","844013373","8489888"
"Suave (Remix)","1313151015","8485750"
"Calm Down (with Selena Gomez)","534245156","8479629"
"Pumped Up Kicks","921285433","8408195"
"I Will Always Love You","1354367310","8399842"
"Bring Me To Life","1138778389","8394523"
"China","1977192357","8391948"
"Say You Won't Let Go","1506216265","8381159"
"Titanium (feat. Sia)","1659258469","8318147"
"Demons","1133709666","8316070"
"They Don't Care About Us","978680025","8312571"
"PLAYING WITH FIRE","803298622","8283995"
"Bad Romance","1651059028","8283806"
"death bed (coffee for your head)","562341931","8206600"
"BEBE","1368074181","8186370"
"Kun Faya Kun","1001492526","8157062"
"Param Sundari","871573508","8154364"
"positions","480074066","8112778"
"295","412646536","8087088"
"Sign of the Times","1056844449","8076168"
"Left and Right (feat. Jung Kook of BTS) - Instrumental","293367976","8016899"
"Left and Right (Feat. Jung Kook of BTS) - Acapella","293367976","8016899"
"I Took A Pill In Ibiza","1563356710","8005631"
"I Took A Pill In Ibiza - Seeb Remix","1563356710","8005631"
"24K Magic","1560261356","7995643"
"Story of My Life","976289967","7976348"
"Jocelyn Flores","616989040","7929889"
"Perfect Strangers","1648712379","7921410"
"MotorSport","1326388299","7920235"
"Just the Way You Are","1827890178","7889348"
"Mayores","2248375030","7856227"
"No Lie","1246216136","7825113"
"Zaroori Tha","1415111816","7806599"
"Waiting For Love","1027002952","7766753"
"Agua (with J Balvin)","887550342","7761922"
"Hallelujah","931145289","7726408"
"White Walls (feat. ScHoolboy Q & Hollis)","1192386864","7725395"
"Poesia Acústica 10: Recomeçar","611078198","7718167"
"Killing Me Softly With His Song","1054210327","7648420"
"HUMBLE.","894244864","7632366"
"The Box","468736698","7617969"
"Cold Heart - PNAU Remix","1190742553","7598239"
"Nothing Breaks Like a Heart (feat. Miley Cyrus)","645366016","7597473"
"Black Magic","950319808","7592180"
"Diles","1972775326","7573901"
"Me Porto Bonito","1243916088","7555758"
"Main Rahoon Ya Na Rahoon","1031200481","7513400"
"Never Forget You","1038677692","7511798"
"Save Your Tears","1060798436","7499012"
"Chand Sifarish","1339608097","7492501"
"High Hopes","839965487","7443231"
"Closer","1032600604","7420916"
"Apologize","1054526688","7407855"
"Stay","1286123439","7404984"
"Sweet Child O' Mine","1479702797","7392749"
"Someone You Loved","586768373","7367091"
"Say My Name","1301502393","7359279"
"Monotonía","378276955","7340366"
"Panini","460319610","7331938"
"Excuses","582630622","7330985"
"Bande organisée","1321207067","7318861"
"Taste (feat. Offset)","1404098315","7268318"
"Baby Shark","3018552883","7266805"
"It's My Life","1336298128","7260425"
"Outside (feat. Ellie Goulding)","1303487198","7253434"
"Dilemma","1316803202","7185662"
"Sweater Weather","665459628","7172822"
"We Can't Stop","1268461723","7154370"
"Stereo Hearts (feat. Adam Levine)","686636687","7154106"
"Cheerleader - Felix Jaehn Remix Radio Edit","1221725915","7149155"
"Heat Waves","480089002","7145914"
"All The Stars (with SZA)","777580207","7128913"
"Entre Nosotros","656453272","7126226"
"Smack That","998832484","7119506"
"Bangarang (feat. Sirah)","910660160","7111393"
"Chop Suey!","1232003777","7083485"
"Black Beatles","917906981","7081299"
"Adan y Eva","1160512511","7074720"
"Take Me to Church","703903289","7060152"
"Tu No Vive Asi (feat. Mambo Kingz & DJ Luian)","1418634060","7031561"
"Zombie","1321038138","7012444"
"Te Amo","1618558742","6999398"
"Thunderclouds (feat. Sia, Diplo, and Labrinth)","995348621","6987213"
"Burn","1826118497","6982121"
"Halo","1366958109","6981179"
"God’s Menu","377725410","6978142"
"The Sound of Silence","1012326416","6947694"
"Make It Right (feat. Lauv)","202320206","6941872"
"Growing Up (feat. Ed Sheeran)","1049489282","6893117"
"Rewrite The Stars (with James Arthur & Anne-Marie)","854940732","6887813"
"Wrecking Ball","1163774522","6876801"
"Bhool Bhulaiyaa 2 Title Track","721962610","6875967"
"Levitating","693239870","6860664"
"November Rain","1994250672","6855095"
"What is Love","697538531","6845818"
"Psycho","433198643","6843133"
"Too Good At Goodbyes","1396618983","6834635"
"good 4 u","419252572","6823359"
"Dance Off (feat. Idris Elba & Anderson .Paak)","1034066116","6817059"
"Best Song Ever","774352951","6784351"
"When I Was Your Man","1237507463","6771190"
"Daydream (???)","157742568","6764096"
"Don't Start Now","635941745","6743946"
"Let Me Down Slowly","451014608","6738842"
"As It Was","425951157","6735214"
"Pareja Del Año","892086165","6732040"
"Te Felicito","921444693","6722225"
"Hasta Abajo","1369199422","6709042"
"Last Friday Night (T.G.I.F.)","1454602433","6701586"
"Night Changes","621581532","6699071"
"Careless Whisper","978518892","6693888"
"Tal Vez","995066885","6690717"
"Smokin Out The Window","454595384","6664944"
"Beat It","905692299","6656468"
"Yonaguni","797887828","6644428"
"I Know What You Want (feat. Flipmode Squad)","885079761","6638513"
"Irish Celebration","1012205556","6604141"
"Otherside (feat. Fences) [Ryan Lewis Remix]","1012205556","6604141"
"Easy On Me","328122505","6592184"
"You Are The Reason","935776325","6563632"
"I Want It That Way","1188156305","6543984"
"Hips Don't Lie (feat. Wyclef Jean)","1214508056","6540184"
"Heaven","1129363553","6539833"
"Kala Chashma","1837338835","6536869"
"Miénteme","963276506","6524610"
"O Saki Saki (From ""Batla House"")","1335488135","6503614"
"The Real Slim Shady","777507160","6489755"
"Sweet but Psycho","835090988","6469327"
"Filhaal2 Mohabbat","640257435","6463348"
"Bad Decisions (with BTS & Snoop Dogg)","102296526","6461671"
"Felices los 4","1825262539","6457165"
"BANG BANG BANG","623574619","6433237"
"Sucker","355402294","6430667"
"Just Give Me a Reason (feat. Nate Ruess)","1518313784","6420621"
"HIGHEST IN THE ROOM","559940711","6409650"
"Chogada (From ""Loveyatri"")","1349973751","6404759"
"RITMO (Bad Boys For Life)","1021503328","6398855"
"I CAN'T STOP ME","477671640","6364962"
"Ego - Radio Edit","943724759","6360520"
"Paani Paani","785743606","6359664"
"Arabic Kuthu - Halamithi Habibo (From ""Beast"")","770985600","6343962"
"Poesia Acústica #9: Melhor Forma","539405099","6331529"
"SAD!","161013020","6325956"
"Go Fuck Yourself","476520655","6277363"
"La Curiosidad","1596007141","6272976"
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")","1632584281","6269442"
"Papaoutai","960958997","6260102"
"Darkside","671812360","6258451"
"I'm Not The Only One","1509259073","6256519"
"WANNABE","486276423","6245151"
"Makhna","844433188","6241403"
"Se Preparó","1607796351","6234555"
"Firework","1406704456","6231519"
"We Are Young (feat. Janelle Monáe)","1034076396","6230575"
"Feel Good Inc.","693555221","6220896"
"Clint Eastwood","618480958","6197318"
"There for You","704592439","6192561"
"Enemy - From the series Arcane League of Legends","430049383","6188792"
"Watermelon Sugar","328730233","6140272"
"Summer","1579275326","6122177"
"ME! (feat. Brendon Urie of Panic! At The Disco)","398904222","6115349"
"Locked out of Heaven","953668445","6108022"
"Finesse - Remix; feat. Cardi B","824918371","6106823"
"Poker Face","1095354937","6103722"
"High Rated Gabru (From ""Nawabzaade"")","1164662248","6095625"
"Tu Aake Dekhle","406536220","6079129"
"Mask Off","568526947","6075437"
"Humnava Mere","828375313","6060530"
"FANCY","565262008","6056056"
"Love Me Again","952484189","6029802"
"The Feels","346384506","6026700"
"Stay With Me","1203242771","6023419"
"Another Love","631458357","6008340"
"Feel This Moment (feat. Christina Aguilera)","1409750946","5999695"
"Jaan Ban Gaye","520599518","5997128"
"Thunderstruck","1224226060","5989128"
"Resistiré","553915243","5989081"
"Call Out My Name","838360134","5977866"
"Young Dumb & Broke","886349984","5968729"
"Tutu","751157957","5965572"
"Animals","850256052","5943212"
"Life Goes On","279213468","5933354"
"Ric Flair Drip (with Metro Boomin)","888967713","5904371"
"Hero","1130854566","5891936"
"River Flows In You","344289640","5889443"
"Pachtaoge (From ""Jaani Ve"")","619891430","5877761"
"You & I","577832390","5851999"
"Happier Than Ever","271961315","5815814"
"eight(Prod.&Feat. SUGA of BTS)","169065742","5809858"
"How Deep Is Your Love","1561837838","5804488"
"Vuelve","875225739","5801270"
"Body","531172592","5777891"
"You Are The Reason - Duet Version","1020336528","5768633"
"Hawái","957804630","5763070"
"Boulevard of Broken Dreams","694614010","5750425"
"Sexy And I Know It","955831760","5734888"
"Khaab","701829307","5724745"
"Eastside (with Halsey & Khalid)","1269443225","5698967"
"No Diggity","970692498","5686473"
"Timber (feat. Ke$ha)","1405539965","5671596"
"Fancy","1116282250","5670864"
"All Star","436459885","5661623"
"Heart Attack","716125653","5659092"
"IDGAF","803009425","5651944"
"Back Door","293760034","5643824"
"Back In Black","915158054","5643694"
"Duki: Bzrp Music Sessions, Vol. 50","135468829","5638412"
"Wild Thoughts (feat. Rihanna & Bryson Tiller)","1062952236","5632195"
"The Next Episode","623064998","5614192"
"Girls Just Want to Have Fun","1148359245","5607874"
"Leja Re","931158091","5587072"
"Mockingbird","725754013","5583947"
"Plan A","174608514","5571085"
"Thunderous","273631028","5534643"
"The Scientist","1082588109","5532787"
"Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio","554811686","5497197"
"GIRL LIKE ME","662529115","5488829"
"Butter - Megan Thee Stallion Remix","69255155","5471656"
"1-800-273-8255","437707104","5446669"
"Grenade","1120763133","5445873"
"Una Lady Como Tú","1652550023","5440510"
"Cuaderno","964262013","5434368"
"Creep","874568139","5427047"
"Payphone","814693726","5409564"
"Ain't Your Mama","854277879","5400907"
"Djadja","905019832","5398329"
"Old MacDonald","1545924229","5397846"
"Habits (Stay High)","1012195643","5376201"
"Habits (Stay High) - Hippie Sabotage Remix","1012195643","5376201"
"Calling My Phone","342348778","5364903"
"Super Tuna","82306543","5335720"
"All The Way Up (feat. Infared)","488743491","5322581"
"I Get the Bag (feat. Migos)","1120781994","5317753"
"Propuesta Indecente","1982703356","5306946"
"Whatever It Takes","857708036","5305762"
"A Cara do Crime (Nós Incomoda)","598270904","5303806"
"Break My Heart","537280985","5302877"
"GATÚBELA","562965741","5297305"
"No Type","868499804","5287096"
"everything i wanted","315642357","5284551"
"Buttabomma - Telugu","815259705","5271260"
"God is a woman","380917647","5264740"
"Set dos Casados","599670732","5259672"
"Me Sinto Abençoado","516342726","5251902"
"Right Now (Na Na Na)","781002857","5239225"
"Asesina","1079676537","5235897"
"Don't Stop Me Now - Remastered 2011","810347487","5235886"
"Ella Quiere Beber - Remix","1480009307","5226289"
"Me Mata","1087706358","5198452"
"Elastic Heart","1261263786","5191365"
"Mirrors","1102839661","5181690"
"Pompeii","711949767","5178283"
"2002","752715362","5176823"
"My Immortal","889118434","5172352"
"Dilbar (From ""Satyameva Jayate"")","1226957185","5169453"
"Ko Ko Bop","342655366","5163914"
"Stan","623636578","5163154"
"comethru","469585128","5141703"
"comethru (with Bea Miller)","469585128","5141703"
"Nothing Else Matters (Remastered)","1209806093","5127599"
"Colgando en tus manos (con Marta Sánchez)","1410384151","5125699"
"Eye of the Tiger","858883649","5116416"
"Eu Fiz o Jogo Virar","373187462","5107888"
"Dollhouse","360529304","5104575"
"deja vu","315822635","5096582"
"El Perdedor","1698556617","5094262"
"Malvadão 3","526441132","5092677"
"Najaa (From ""Sooryavanshi"")","410524856","5087745"
"Arms Around You (feat. Maluma & Swae Lee)","359479368","5084074"
"Dior","532480847","5076928"
"Verte Ir","979203907","5075140"
"Otro Trago","657079989","5070860"
"Natural","537581730","5067694"
"Nunca Es Suficiente","1757931579","5059285"
"Same Beef","479574570","5051267"
"SLOW DANCING IN THE DARK","357725577","5048299"
"Ni**as In Paris","748379370","5043536"
"Feel Special","459290870","5042542"
"Please Me","455590677","5038753"
"Delincuente","638713056","5036561"
"Eladio Carrion: Bzrp Music Sessions, Vol. 40","333169350","5033631"
"Yeah! (feat. Lil Jon & Ludacris)","766892796","5030572"
"Go Down Deh (feat. Shaggy and Sean Paul)","331722017","5029474"
"love nwantiti (ah ah ah) [feat. Joeboy & Kuami Eugene] [Remix]","355841027","5027883"
"love nwantiti (ah ah ah)","355841027","5027883"
"The Astronaut","62033344","5018848"
"Candy Shop","838974650","5014527"
"Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")","649743268","5014358"
"I Don’t Wanna Live Forever (Fifty Shades Darker)","690577147","4992725"
"Me Too","717685031","4992247"
"Love Nwantiti (Acoustic Version)","215095864","4976572"
"34+35","285258274","4966928"
"Pop Out (feat. Lil Tjay)","628680732","4966418"
"Besos En Guerra","1112802847","4934319"
"One Call Away","797478569","4930008"
"Por Fin Te Encontré","1996068117","4926407"
"We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song] (feat. Jennifer Lopez & Claudia Leitte)","894756316","4925915"
"Blah Blah Blah","652118938","4918388"
"Enjoy Enjaami","455272437","4903554"
"Where Is The Love?","888076529","4899065"
"Baby Me Atende","863722398","4897699"
"NO","625637020","4870221"
"Lady Marmalade - Single Edit","980103064","4859002"
"Good Time","855536937","4850015"
"Mirror","764982505","4833883"
"Umbrella","872331461","4832737"
"XO Tour Llif3","503384393","4831724"
"The Reason","938269816","4825010"
"Back To Black","879026484","4809692"
"Shining Star","641407658","4804872"
"Let's Groove","641407658","4804872"
"Boogie Wonderland","641407658","4804872"
"September","641407658","4804872"
"Beijo (Interlude)","641407658","4804872"
"After the Love Has Gone","641407658","4804872"
"September - from DreamWorks Animation's ""TROLLS""","641407658","4804872"
"In the Stone","641407658","4804872"
"Don't Be Shy","659808206","4803349"
"No Money","629715753","4800891"
"BOP","483540535","4800576"
"Make It Bun Dem","571780790","4799035"
"Walk Em Down (feat. Roddy Ricch)","528204134","4793740"
"Trap Queen","809179877","4782974"
"Circles","542016752","4778234"
"Tattoo - Remix with Camilo","794818462","4767981"
"Hey Ya!","643681038","4762306"
"Tempo","225698998","4760999"
"Thoda Thoda Pyaar","519075557","4746885"
"Pump It","755836314","4746197"
"Golden","214177834","4735089"
"Hasta el Amanecer","1546036758","4733493"
"Naacho Naacho (From ""Rrr"")","476786093","4732652"
"Tujh Mein Rab Dikhta Hai","837759807","4726336"
"Fuck Love (feat. Trippie Redd)","384167759","4721889"
"Todo De Ti","637000730","4716777"
"Lush Life","793037572","4710839"
"Darte un Beso","1365872178","4708697"
"Mercy","631732798","4705642"
"Obsession","160643053","4693145"
"Don't You Worry Child","888300375","4691219"
"Don't You Worry Child - Radio Edit","888300375","4691219"
"Lagdi Lahore Di (From ""Street Dancer 3D"")","873071040","4677367"
"#thatPOWER","981442473","4673535"
"Scream & Shout","981442473","4673535"
"Tití Me Preguntó","644301257","4670384"
"Wind of Change","999439403","4661357"
"Wind Of Change","999439403","4661357"
"Back to You (feat. Bebe Rexha & Digital Farm Animals)","488528623","4658344"
"What A Beautiful Name","946551791","4658250"
"Murder On My Mind","545010163","4646486"
"Unholy (feat. Kim Petras)","240077565","4627432"
"Flowers","154519342","4625162"
"Hall of Fame (feat. will.i.am)","537689060","4623645"
"Yellow","832627047","4604187"
"Every Breath You Take","1046412529","4602896"
"Power","485863178","4601970"
"Redbone","607523565","4597498"
"...Baby One More Time","790774922","4595411"
"Seven Nation Army","531538957","4592162"
"Kiss Me More (feat. SZA)","397956072","4591144"
"ULTRA SOLO REMIX","562569819","4585228"
"Gangsta","432722197","4584832"
"Pepas","518925108","4581525"
"Ya Nabi Salam Alayka","502189487","4576157"
"Loca - Remix","689759471","4574796"
"Flashlight - From ""Pitch Perfect 2"" Soundtrack","717206265","4573215"
"Livin' On A Prayer","1001651093","4560379"
"Royals","917003732","4557902"
"Stolen Dance","855009428","4555683"
"Eenie Meenie","589129459","4553789"
"Paulo Londra: Bzrp Music Sessions, Vol. 23","124215275","4547308"
"EL MAKINON","891020496","4542830"
"How Long","674149946","4542521"
"Una Vaina Loca","1134185828","4541330"
"El Perdón (with Enrique Iglesias)","1438710505","4535421"
"Summertime Sadness","413081416","4526038"
"Dime Cómo Quieres","607883484","4522521"
"Super Bass","961031939","4505284"
"The One That Got Away","953056719","4500259"
"Steal My Girl","408225075","4499688"
"Alcohol-Free","261953361","4491524"
"Downtown","665825401","4485198"
"The Humma Song","979230792","4483837"
"Say Something","623214107","4473354"
"Save That Shit","453426650","4470353"
"TiK ToK","642558842","4468960"
"Shower","477000016","4458638"
"South of the Border (feat. Camila Cabello & Cardi B)","477852232","4449830"
"Tera Hone Laga Hoon","699051742","4449519"
"Fireflies","480239520","4432091"
"Toxic","619105084","4406102"
"Californication","1018811259","4394471"
"Unstoppable","318341337","4391028"
"4K","519323450","4379686"
"In the morning","236090118","4377190"
"Caile","953443696","4375152"
"Viva La Vida","789581468","4370461"
"Ballin' (with Roddy Ricch)","526838769","4366610"
"La Bicicleta","1552515378","4363949"
"One More Night","1017088339","4363461"
"Paris","648791753","4358864"
"Levels - Radio Edit","620663030","4348505"
"The Last Ride","199426165","4341435"
"Bitter Sweet Symphony","879974030","4337408"
"Crank That (Soulja Boy)","539756146","4320230"
"Like I'm Gonna Lose You (feat. John Legend)","780571296","4319336"
"Don't Let Me Down (feat. Daya) - Illenium Remix","532362557","4315256"
"When I Grow Up","460493293","4314811"
"Kabira","736089188","4313458"
"Bad Liar","418271237","4308174"
"Better Now","557333012","4303699"
"I'm Yours","714213148","4301268"
"Dil Ko Karaar Aaya (From ""Sukoon"")","281103508","4294367"
"FULANITO","561249154","4291888"
"Stronger","600569544","4277590"
